Name,Downforce,Overtaking,Suspension,Fuel (5),Tyre Wear,Lap Length,Laps,Distance,P (10),H,A,Avg. Speed,Note,Corners (15),Pit I/O,Grip,col_18,Wings (19),Engine,Brakes,Gear,Suspension,col_24,WS (25),col_26,L/km (27),L/km (wet),col_29,Wear (30),col_31,Cha (32),Eng,FW,RW,UndB,SidP,Coo,GeaB,Bra,Sus,Ele
A1-Ring,Low,Easy,Medium,High,Medium,4.325,71,307.1,13,8,9,226.29,,9,21,Low,,249.22,714.42,676.29,789.1,511.89,,141.46,,0.875,0.7829,,0.89211,,28.364,50.049,20.163,21.196,20.947,24.105,18.278,35.533,41.422,26.859,21.234
Adelaide,Medium,Hard,Medium,Low,Medium,3.78,79,298.6,8,9,10,190.87,,12,19.5,Low,,631.9,496.9,358.33,549.99,652.05,,79.46,,0.80699,0.67738,,0.94557,,37.701,19.199,39.871,46.941,42.558,25.695,29.996,29.09,23.684,14.93,21.454
Ahvenisto,High,Normal,Soft,Medium,High,3.04,80,243.2,5,10,7,148.42,,10,11.5,Normal,,993.04,466.54,699.74,766.1,240.15,,228.29049,,0.84548,0.796,,0.9336,,19.005,24.242,26.228,25.398,21.434,19.066,15.144,23.54,30.804,21.994,11.295
Anderstorp,Low,Very Hard,Soft,High,Medium,4.026,70,281.8,9,11,9,203.49,,10,13.5,Low,,250.72,699.88,769.29,611.18,107.05,,75.3197,,0.90418,0.785,,0.971,,24.057,49.52,19.009,17.682,41.683,26.54,14.497,40.326,51.839,20.752,12.062
Austin,Medium,Easy,Hard,Medium,Medium,5.516,56,308.9,11,18,10,190.53,,20,17.5,High,,521.56,605.59,608.9,640.62,786.9,,173.6,,0.86169,0.752,,1.00374,,17.437,36.613,28.306,28.365,19.711,18.619,19.176,29.87,35.687,15.265,15.166
Avus,Low,Easy,Hard,Very High,Low,4.88,64,312.3,22,3,9,285.89,,4,13,Normal,,302.564785,636.2622803,412.398,387.41,821.34,,103.2451,,0.90563,0,,1.18641,,29.641,82.948,16.89,18.291,35.857,17.695,19.192,26.277,23.155,58.773,21.23
Baku City,Medium,Easy,Hard,High,Very High,6.006,51,306.3,18,8,16,211.45,,20,17,High,,362.0814021,615.5639744,611.02,706,716.97,,96.7099,,0.89345,0,,1.00055,,20.6,57.51,19.98,21.81,18.45,23.86,17.28,26.63,46.2,18.92,14.28
Barcelona,Medium,Hard,Soft,High,Medium,4.728,65,307.3,11,13,8,217.02,,16,21,Low,,457.87,673.95,503.46,676.11,315.93,,140.56392,,0.874,0,,1.0933,,26.337,56.326,42.815,50.242,32.36,23.23,22.654,34.648,51.347,40.249,19.984
Brands Hatch,Medium,Normal,Medium,Low,Low,4.207,75,315.5,10,12,8,211.02,,12,25.5,Normal,,475.32,647.54495,386.69197,709.39821,641.46833,,121.09563,,0.83052,0.63566,,1.04047,,11.226,31.312,19.867,24.586,27.84,15.258,12.634,21.206,38.032,38.167,19.267
Brasilia,Medium,Hard,Hard,High,Medium,5.475,55,301.1,16,15,7,206.08,,12,13.5,Normal,,577.88029,409.23081,697.755,849.605,784.06,,46.68976,,0.89108,0.62207,,1.04035,,19.535,38.858,25.23,30.878,20.553,18.98,21.956,32.389,44.362,20.66,17.342
Bremgarten,Medium,Normal,Medium,Medium,Medium,7.281,42,305.8,8,26,17,257.04,,16,17,Low,,713.7,594.03,589.41,697.91,539.29,,138.55358,,0.858,0,,1.0813,,38.557,21.319,19.579,18.667,43.388,31.769,13.817,35.362,30.61,42.353,11.939
Brno,Medium,Easy,Medium,Medium,High,5.404,57,308,12,12,14,207.14,,15,14,Normal,,489.73,515.49,378.53,555.53,490.25,,73.58322,,0.83238,0.70154,,0.98793,,26.354,44.572,28.761,23.715,28.541,27.064,25.519,31.263,35.515,28.316,20.386
Bucharest Ring,Low,Easy,Hard,Very High,Low,3.071,80,245.7,8,6,8,146.34,,14,24,Normal,,269.73,654.11,711.39,593.83,744.57,,77.48096,,0.9118,0.77063,,0.9947,,27.736,60.353,27.626,30.114,36.688,25.61,21.076,43.326,54.418,31.362,25.188
Buenos Aires,High,Very Hard,Hard,Very Low,High,4.258,72,306.6,12,11,9,185.31,,16,19.5,Normal,,901.29277,516.57393,272.05175,654.41483,706.34042,,190.07916,,0.78529,0.57204,,0.9795,,30.501,53.566,23.704,29.801,21.514,18.41,25.458,56.631,71.4,50.261,20.256
Estoril,Medium,Normal,Medium,Medium,Medium,4.36,70,305.2,11,8,14,221.29,,13,22.5,Low,,438.52,652.28,302.24,705,575.42,,79.46,,0.83787,0.71482,,1.05901,,22.176,50.824,29.567,24.938,28.032,19.577,14.875,37.582,43.713,33.955,13.844
Fiorano,Medium,Normal,Hard,Very High,High,3.02,79,238.6,8,6,7,183.62,,14,16.5,Low,,449.29,619.66,301.15,374.52,895.1,,99.31144,,0.9327,0.872,,0.95633,,28.042,44.724,28.028,31.005,23.742,19.573,22.703,36.521,46.853,32.295,22.805
